Naseerabad,Tamboo,RHC Mir Wah,mirwah town,03003709853,Both
Naseerabad,Tamboo,RHC Manjho Shori,main city road,03450329510,Both
Jhal Magsi,Gandawah,BHU GAJAN,main city road,03337037957,Both
Jhal Magsi,Jhall magsi,BHU BARIJA,main city road,03337037957,Both
Chagai,Dalbabdin,RHC Chiater,main city road,03327884184,Both
Chagai,Nokundi,BHU Taftan,main city road,03337960968,Both
Chagai,Chaghi,RHC Chagai Village,main city road,03338800776,Both
Chagai,Dalbabdin,BHU Yakmach,main city road,03337743833,Both
Chagai,Nokundi,MCH Nokkundi,main city road,03327919128,Both
Pishin,Karezat,THQ Khanozai,main city road,"082642040103313866511",Both
Pishin,Barshor,RHC Barshor,main city road,"082642040103313866511",Both
Pishin,Huram Zai,RHC GANGALZAI,main city road,"082642040103313866511",Both
Pishin,Huram Zai,RHC ALI ZAI,main city road,"082642040103313866511",Both
Pishin,Karezat,RHC Bostan,main city road,"082642040103313866511",Both
Pishin,Pishin,RHC Saranan,main city road,"082642040103313866511",Both
Quetta,Panjpai,RHC Panjpai,main city road,03159938884,Both
Quetta,Zarghoon Town,BHU Hanna,main city road,03323856016,Both
Quetta,Zarghoon Town,BHU New Pashtonabad,pashtoonabad,03338885664,Both
Quetta,Zarghoon Town,BHU Kili Kabir,main city road,03358176665,Both
Quetta,Chilton Town,BHU Kachi Beg,main city road,03058006540,Both
Quetta,Chilton Town,BHU Ahmad Khanzai,main city road,03337848827,Both
Quetta,Chilton Town,BHU Nosar,Killi nosar,03327812733,Both
Quetta,Chilton Town,EPI HQ,"Near SBK University, Brewery Road Quetta",0819213186,Both
Quetta,Chilton Town,DHGHS,Link saryab road,03312484672,Both
Quetta,Chilton Town,DHO Office,western bypass,08129213257,Both
Quetta,Zarghoon Town,Trauma  Center,"inside civil hospital, jinnah road",03218003437,Both
Quetta,Zarghoon Town,"Al- Shifa Hospital, Patel Road, Quetta",Patel road,0812827892,Both
Quetta,Zarghoon Town,"Akram Hospital, Zarghoon Road Quetta",Zarghoon road near Bukhari sweets,"0812869236,37,38",Both
Quetta,Zarghoon Town,"Azeem Hospital, Nawa Killi, Quetta",Nawa killi,03023806167,Both
Quetta,Zarghoon Town,"City International Hospital, Jinnah Road Quetta",Jinnah road,0812842042,Both
Quetta,Chilton Town,Dar ul Shifa Imam Khumini Hazara Town Quetta,Hazara town near imam barigah,0812857135,Both
Quetta,Zarghoon Town,"Jilani Hospital, Satellite Town, Quetta",mini market satellite town quetta,"033337878210812453701",Both
Quetta,Zarghoon Town,"Nagi Children Hospital, Petel Bagh, Quetta",Patel bagh,0812837882,Both
Quetta,Zarghoon Town,"Christain Hospital, Mission Road, Quetta",Mission road,0812842697,Both
Quetta,Zarghoon Town,"Imdad Hospital, Jinnah Road, Quetta",Jinnah road,0812824476,Both
Quetta,Zarghoon Town,"Doctors Hospital, Petal Road, Quetta",patel road,0812868317,Both
Quetta,Zarghoon Town,"Haji Sangeen Khan Hospital, Airport Roaq, Quetta",airport road,92812825896,Both
Quetta,Zarghoon Town,"Wapda Hospital, Airport Road, Quetta",Airport road near PSO petrol pump,92812880885,Both
Quetta,Zarghoon Town,"Saleem Medical Complex, Jinnah Road, Quetta",Jinnah road near science college,92812828679,Both
Quetta,Zarghoon Town,"Mid Town Hospital, Model Town, Quetta","model town, quetta",92812822340,Both
Quetta,Zarghoon Town,"Al Qadeer Hospital, Dr. Sher Muhammad Road, Quetta",Dr. sher muhammad road,03023806167,Both
Quetta,Chilton Town,"Tariq Hospital, Saryab Road, Quetta",saryab road,03023806167,Both
Quetta,Zarghoon Town,"Yaseen Hospital, Patel Road, Quetta",patel road,0812822424,Both
Quetta,Zarghoon Town,"Rahat Medical Complex, Art School Road, Quetta",art school road near kebabish grill,0812838874,Both
Quetta,Zarghoon Town,"Al Nasir Hospital, Adalat Road,Quetta",adalat road,0812833573,Both
Quetta,Zarghoon Town,"Gilani Hospital, Satellite Town, Quetta",mini market satellite town quetta,"0812447183, 84",Both
Quetta,Zarghoon Town,"Al Azam Hospital, Satellite Town, Quetta",satellite town quetta,0812448388,Both
Quetta,Zarghoon Town,"Najma Ghaffar Hospital, Patel Road, Quetta",patel road,92812820331,Both
Quetta,Zarghoon Town,"Madina Children Hospital, Dr. Sher Muhammad Road, Quetta",airport road,03023806167,Both
Killa Abdullah,Chaman,Woman and Children hospital,main city near new dhq chaman,03318946689,Both
Killa Abdullah,Killa Abdullah,RHC Habibzai,main city road,"3,318,010,845",Both
Killa Abdullah,Gulistan,RHC Abdul Rehmanzai,main city road,03318946689,Both
Killa Abdullah,Killa Abdullah,RHC Maizai,main city road,"3,318,010,845",Both
Nushki,Nushki,RHC Ahmad Wall,main city road,03448022463,Both
Nushki,Nushki,BHU Mengal II,main city road,03448022463,Both
Dera Bugti,Sui,PPL Sui,main city road,0835422445,Both
Kohlu,Kohlu,DHQ Hospital Kohlu,main city road,0829667370,Both
Kohlu,Mewand,MCH Kohlu,main city road,0829667370,Both
Sibi,Lehri,BHU Bakhtir Abad,main city road,03328812683,Both
Sibi,Sibi,BHU Mal Gishkori,main city road,Not Available,Both
Sibi,Sibi,RHC Talli,main city road,03313547971,Both
Sibi,Lehri,RHC Lehri,main city road,03337716512,Both
Sibi,Sibi,RHC Luni,main city road,03337711366,Both
Ziarat,Ziarat,RHC AHMADOON,main city road,03138489354,Both
Ziarat,Ziarat,RHC KAWAS,main city road,03327822910,Both
Ziarat,Sinjavi,THQ Hospital Sinjavi,main city road,03422851731,Both
Harnai,Shahrag,RHC SHARAG,main city road,0833520049,Both
Barkhan,Barkhan,BHU Pir Bakhsh Mehani,main city road,03311205001,Both
Barkhan,Barkhan,BHU RAKHNI,main city road,03346752823,Both
Barkhan,Barkhan,CD DAMAN BAGHAO,main city road,03321590778,Both
Killa Saifullah,Muslim Bagh,BHU Murgha Faqirzai,main city road,03363845450,Both
Killa Saifullah,Muslim Bagh,THQ Hospital Muslim Bagh,main city road,03138488499,Both
Loralai,Makhter,RHC MEKHTER,main city road,03333222425,Both
Musa Khail,Kingri,BHU Kingri,main city road,03337738775,Both
Musa Khail,Kingri,BHU Rara Sham,main city road,03337738775,Both
Musa Khail,Drug,RHC Drug,main city road,03337738775,Both
Zhob,Zhob,BHU Sheikhan,main city road,03127919610,Both
Zhob,Zhob,BHU Babar,main city road,03127919610,Both
Zhob,Kaker Khurasan,RHC Qamardin Karez,main city road,03127919610,Both
